,quantity,unit_price,discount_percent,shipping_cost,Year,rating,customer_segment_Gold,customer_segment_Premium,product_name_External HDD,product_name_Gaming Chair,product_name_Headphones,product_name_Keyboard,product_name_Laptop,product_name_Monitor,product_name_Mouse,product_name_Phone Stand,product_name_Power Bank,product_name_Printer,product_name_Router,product_name_Smart Watch,product_name_Speakers,product_name_Tablet,subtotal,discount_amount,Revenue
41,4,2930.46,0.11,83.25,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11721.84,1289.4024,10515.687600000001
42,5,3691.45,0.36,42.27,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18457.25,6644.61,11854.91
44,5,3401.35,0.23,24.41,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17006.75,3911.5525000000002,13119.6075
45,4,1734.5,0.39,36.0,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6938.0,2705.82,4268.18
48,1,13566.04,0.24,25.03,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13566.04,3255.8496,10335.220400000002
49,1,3420.31,0.4,91.5,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3420.31,1368.124,2143.6859999999997
51,7,4238.34,0.24,9.1,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29668.38,7120.4112,22557.0688
52,2,14535.07,0.226172997290527,83.73,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29070.14,6574.880695455241,22578.989304544757
54,5,14271.37,0.19,9.94,2023,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71356.85,13557.801500000001,57808.98850000001
56,1,3012.35,0.04,94.01,2024,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3012.35,120.494,2985.866
57,5,3401.52,0.26,39.35,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17007.6,4421.976,12624.974
58,6,911.52,0.226172997290527,2.91,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5469.12,1236.967262941567,4235.0627370584325
59,1,1772.74,0.06,70.52,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1772.74,106.3644,1736.8956
61,1,3035.13,0.16,8.04,2024,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.13,485.62080000000003,2557.5492
62,1,5733.77,0.04,11.97,2024,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5733.77,229.35080000000002,5516.3892000000005
64,2,713.3,0.06,25.64,2024,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.6,85.59599999999999,1366.644
65,3,213.65,0.08,18.21,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.95,51.276,607.8840000000001
68,9,16035.77,0.25,89.34,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144321.93,36080.4825,108330.78749999999
72,10,3785.59,0.03,93.14,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37855.9,1135.677,36813.363
73,8,2536.64,0.03,94.01,2023,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20293.12,608.7936,19778.336399999997
74,6,7779.77,0.38,89.83,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46678.62,17737.8756,29030.574400000005
75,2,9447.351521955212,0.18,85.93,2024,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18894.703043910424,3401.046547903876,15579.586496006548
76,8,9447.351521955212,0.3,99.26,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75578.8121756417,22673.643652692506,53004.42852294919
77,6,13537.95,0.08,36.98,2024,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81227.70000000001,6498.216000000001,74766.464
80,4,5776.59,0.18,81.82,2023,3.78987608752966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23106.36,4159.1448,19029.0352
81,2,5755.51,0.32,79.41,2024,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11511.02,3683.5264,7906.9036
82,3,2784.67,0.23,62.21,2023,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8354.01,1921.4223000000002,6494.7977
83,7,3209.63,0.33,74.74,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22467.41,7414.2453000000005,15127.9047
84,10,2038.56,0.35,62.44,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20385.6,7134.959999999999,13313.08
85,2,2690.08,0.12,10.1,2023,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5380.16,645.6192,4744.6408
89,8,798.78,0.03,50.98,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6390.24,191.7072,6249.5127999999995
90,10,47269.04,0.28,28.94,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472690.4,132353.312,340366.028
91,5,5806.58,0.3,59.88,2024,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29032.9,8709.87,20382.91
92,5,16154.49,0.02,27.54,2024,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80772.45,1615.449,79184.541
95,6,12936.65,0.19,39.96,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77619.9,14747.780999999999,62912.07899999999
96,1,48106.35,0.21,79.84,2023,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48106.35,10102.333499999999,38083.856499999994
97,8,8767.58,0.09,0.47,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,70140.64,6312.6576,63828.4524
98,6,2595.89,0.13,30.99,2023,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15575.34,2024.7942,13581.5358
99,10,12940.5,0.32,92.21,2024,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129405.0,41409.6,88087.61
100,1,2295.56,0.14,64.3,2023,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.56,321.3784,2038.4815999999998
101,10,8763.0,0.38,40.2,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87630.0,33299.4,54370.799999999996
102,10,51893.79,0.34,27.56,2024,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518937.9,176438.88600000003,342526.57399999996
103,3,2234.89,0.28,10.27,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6704.67,1877.3076,4837.6324
105,7,6456.52,0.07,21.25,2023,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45195.64,3163.6948,42053.1952
106,9,192.43,0.08,66.17,2023,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1731.8700000000001,138.54960000000003,1659.4904000000001
107,3,49488.47,0.09,83.34,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148465.41,13361.8869,135186.8631
108,2,706.65,0.27,41.77,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.3,381.591,1073.4789999999998
110,10,720.17,0.34,14.64,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7201.7,2448.578,4767.762
111,4,9447.351521955212,0.25,64.92,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37789.40608782085,9447.351521955212,28406.974565865632
113,5,4173.78,0.28,53.71,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20868.899999999998,5843.292,15079.317999999996
115,2,1735.47,0.17,56.69,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3470.94,590.0598,2937.5702
116,1,1768.85,0.24,13.76,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1768.85,424.52399999999994,1358.086
120,3,4278.32,0.18,62.54,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12834.96,2310.2927999999997,10587.2072
121,7,226.81,0.07,56.22,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.67,111.13690000000001,1532.7531000000001
123,2,9447.351521955212,0.11,62.54,2024,3.78987608752966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18894.703043910424,2078.4173348301465,16878.82570908028
125,8,6621.26,0.17,15.8,2024,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52970.08,9004.913600000002,43980.966400000005
128,10,3580.27,0.03,33.16,2024,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35802.7,1074.081,34761.779
129,6,7824.16,0.19,21.97,2023,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46944.96,8919.5424,38047.3876
130,10,9447.351521955212,0.226172997290527,48.48,2023,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94473.51521955212,21367.358101778325,73154.63711777379
131,2,26398.18,0.21,30.77,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52796.36,11087.2356,41739.8944
132,2,9447.351521955212,0.28,2.04,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18894.703043910424,5290.516852294919,13606.226191615506
133,7,7920.33,0.05,32.44,2023,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55442.31,2772.1155,52702.6345
135,2,13465.63,0.4,2.09,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26931.26,10772.504,16160.845999999998
136,7,860.66,0.23,40.84,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.62,1385.6626,4679.7973999999995
137,9,9447.351521955212,0.26,92.94,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85026.1636975969,22106.802561375196,63012.30113622171
138,6,3826.09,0.28,75.97,2023,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22956.54,6427.8312000000005,16604.6788
139,10,191.58,0.26,77.93,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915.8000000000002,498.10800000000006,1495.622
140,2,9447.351521955212,0.25,82.57,2023,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18894.703043910424,4723.675760977606,14253.597282932817
142,8,195.84,0.3,4.03,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.72,470.01599999999996,1100.7340000000002
143,1,2623.75,0.25,36.89,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2623.75,655.9375,2004.7025
144,10,6630.88,0.13,20.79,2024,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66308.8,8620.144,57709.446
145,1,7186.82,0.37,50.72,2023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7186.82,2659.1234,4578.4166
146,7,9447.351521955212,0.38,49.93,2024,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66131.46065368649,25129.955048400865,41051.435605285624
147,2,9447.351521955212,0.04,49.39952138694063,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18894.703043910424,755.788121756417,18188.31444354095
150,2,10433.22,0.2,60.34,2024,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20866.44,4173.288,16753.492
151,1,7325.9,0.09,53.62,2023,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7325.9,659.3309999999999,6720.188999999999
152,4,816.58,0.05,13.09,2024,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.32,163.31600000000003,3116.094
153,9,10913.36,0.16,38.81,2024,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,98220.24,15715.238400000002,82543.8116
154,8,10657.68,0.29,96.64,2024,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85261.44,24725.8176,60632.26240000001
156,2,816.61,0.35,16.29,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.22,571.627,1077.883
157,1,3366.11,0.34,33.92,2023,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.11,1144.4774000000002,2255.5526
158,5,2977.24,0.37,3.58,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14886.199999999999,5507.893999999999,9381.886
159,1,3177.98,0.05,32.52,2024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3177.98,158.899,3051.601
160,8,3767.31,0.21,61.64,2023,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30138.48,6329.0808,23871.0392
161,6,7270.68,0.28,53.21,2024,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43624.08,12214.742400000001,31462.547599999998
162,7,3205.23,0.15,14.91,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22436.61,3365.4915,19086.0285
163,7,7320.85,0.17,26.83,2023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51245.950000000004,8711.811500000002,42560.9685
165,4,11700.67,0.31,98.04,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46802.68,14508.8308,32391.8892
166,1,12227.03,0.05,80.42,2024,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12227.03,611.3515000000001,11696.0985
167,4,27578.6,0.01,75.15,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110314.4,1103.144,109286.40599999999
168,2,4273.41,0.38,69.38,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8546.82,3247.7916,5368.408399999999
169,3,23673.7,0.12,65.27,2023,3.78987608752966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71021.1,8522.532000000001,62563.838
170,1,5451.93,0.08,63.87,2024,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5451.93,436.1544,5079.6456
173,9,9447.351521955212,0.02,9.61,2024,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85026.1636975969,1700.523273951938,83335.25042364496
174,1,890.17,0.29,18.09,2023,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,890.17,258.1493,650.1107000000001
175,3,4200.11,0.09,69.48,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12600.329999999998,1134.0296999999998,11535.780299999999
176,2,14960.17,0.3,29.1,2023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29920.34,8976.101999999999,20973.338
